sampler,avg_runtime_per_trace_ms,std_runtime_per_trace_ms,min_runtime_per_trace_ms,max_runtime_per_trace_ms,avg_benefit_cost_ratio,std_benefit_cost_ratio,min_benefit_cost_ratio,max_benefit_cost_ratio,avg_actual_sampling_rate,std_actual_sampling_rate,min_actual_sampling_rate,max_actual_sampling_rate,avg_controllability,std_controllability,min_controllability,max_controllability
gleaner_latency_dominate,1.1409746861067793,0.24804770220533923,0.7086261728895363,1.8505445490453751,0.7323217899595761,0.09682178915929174,0.3797585886722377,0.8832335329341318,0.10003973558085077,0.00004838754938674543,0.09994321408290743,0.10021786492374728,0.001005004527322238,0.0007734317189187988,0.0,0.0038022813688212928
gleaner_log_dominate,1.1592700324271468,0.2425099993751872,0.7099286128914422,1.9234226613741043,0.7365191879605504,0.098017676904665,0.3779015784586815,0.8845265588914549,0.10003973558085077,0.00004838754938674543,0.09994321408290743,0.10021786492374728,0.001005004527322238,0.0007734317189187988,0.0,0.0038022813688212928
gleaner_no_ad,12.49848751862527,23.567961004291124,0.7303284170208324,97.96114885960048,0.7522240864170466,0.07972106186564631,0.4478632478632479,0.91005291005291,0.09989784139626173,0.0007023017823548113,0.09145015451527984,0.10021786492374728,0.0020747462882894883,0.006745632311282471,0.0,0.08476517754868271
gleaner_no_dpp,0.5887526329021145,0.06072708336008946,0.45184708521053196,0.8127257024391649,0.6514027214753874,0.10620871784908184,0.17094017094017094,0.8446969696969697,0.10003973558085077,0.00004838754938674543,0.09994321408290743,0.10021786492374728,0.001005004527322238,0.0007734317189187988,0.0,0.0038022813688212928
gleaner_no_logs,0.9318945885940838,0.23286404827697307,0.536646373971176,1.827856207898153,0.7171296666130699,0.10018547340559135,0.3572649572649573,0.8722513089005236,0.09989784139626173,0.0007023017823548113,0.09145015451527984,0.10021786492374728,0.0020747462882894883,0.006745632311282471,0.0,0.08476517754868271
gleaner_no_logs_no_ad,0.8253650405735673,0.15424256433223357,0.5601854697351001,1.2190085219306313,0.6915619034750566,0.06708490978461805,0.43846153846153846,0.8548707753479126,0.10003973558085077,0.00004838754938674543,0.09994321408290743,0.10021786492374728,0.001005004527322238,0.0007734317189187988,0.0,0.0038022813688212928
gleaner_no_rebalance,1.20173471497684,0.24746312678394836,0.7131053014601608,1.8993760147268666,0.7586076452710645,0.10514106012144044,0.3779015784586815,0.91005291005291,0.10003973558085077,0.00004838754938674543,0.09994321408290743,0.10021786492374728,0.001005004527322238,0.0007734317189187988,0.0,0.0038022813688212928
gleaner_pure_diversity,1.6846136322207048,0.2836581491972118,0.9147504751389101,2.4332241893022197,0.6525286032988953,0.06631835009377515,0.32051282051282054,0.8210735586481114,0.09989784139626173,0.0007023017823548113,0.09145015451527984,0.10021786492374728,0.0020747462882894883,0.006745632311282471,0.0,0.08476517754868271
gleaner_top_score,0.5167558977563734,0.05033694606747738,0.33927426616289647,0.7867140790473924,0.7813237122586458,0.09700562500666522,0.011965811965811967,0.9266666666666666,0.10003973558085077,0.00004838754938674543,0.09994321408290743,0.10021786492374728,0.001005004527322238,0.0007734317189187988,0.0,0.0038022813688212928
gleaner_wl_kernel,8.397970159792514,5.200790930011036,2.100726565810935,24.54667221823796,0.6351787658527701,0.10712128208512199,0.15726495726495726,0.8233532934131736,0.10003973558085077,0.00004838754938674543,0.09994321408290743,0.10021786492374728,0.001005004527322238,0.0007734317189187988,0.0,0.0038022813688212928
