row_id,rq,paper_mapping,item,metric,metric_label,value
rq1|Gleaner WL Kernel|avg_proportion_anomaly,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner WL Kernel,avg_proportion_anomaly,Anomaly proportion,0.107566026102
rq1|Gleaner w/o AD|avg_api_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o AD,avg_api_coverage,API coverage,0.949715909091
rq1|Gleaner w/o AD|avg_path_coverage_dedup,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o AD,avg_path_coverage_dedup,Path coverage,0.824441203085
rq1|Gleaner w/o AD|avg_unique_trace_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o AD,avg_unique_trace_coverage,Unique trace coverage,0.209874501307
rq1|Gleaner w/o AD|avg_shannon_entropy,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o AD,avg_shannon_entropy,Shannon entropy,6.74181502663
rq1|Gleaner w/o AD|avg_proportion_anomaly,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o AD,avg_proportion_anomaly,Anomaly proportion,0.0923651148157
rq1|Gleaner w/o DPP|avg_api_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o DPP,avg_api_coverage,API coverage,0.975662878788
rq1|Gleaner w/o DPP|avg_path_coverage_dedup,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o DPP,avg_path_coverage_dedup,Path coverage,0.803624911524
rq1|Gleaner w/o DPP|avg_unique_trace_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o DPP,avg_unique_trace_coverage,Unique trace coverage,0.192567903007
rq1|Gleaner w/o DPP|avg_shannon_entropy,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o DPP,avg_shannon_entropy,Shannon entropy,6.63397835749
rq1|Gleaner w/o DPP|avg_proportion_anomaly,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o DPP,avg_proportion_anomaly,Anomaly proportion,0.115319632365
rq1|Gleaner w/o Logs|avg_api_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Logs,avg_api_coverage,API coverage,0.959943181818
rq1|Gleaner w/o Logs|avg_path_coverage_dedup,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Logs,avg_path_coverage_dedup,Path coverage,0.839991232435
rq1|Gleaner w/o Logs|avg_unique_trace_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Logs,avg_unique_trace_coverage,Unique trace coverage,0.205705161017
rq1|Gleaner w/o Logs|avg_shannon_entropy,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Logs,avg_shannon_entropy,Shannon entropy,6.70943249092
rq1|Gleaner w/o Logs|avg_proportion_anomaly,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Logs,avg_proportion_anomaly,Anomaly proportion,0.12784680855
rq1|Gleaner w/o Logs + AD|avg_api_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Logs + AD,avg_api_coverage,API coverage,0.962026515152
rq1|Gleaner w/o Logs + AD|avg_path_coverage_dedup,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Logs + AD,avg_path_coverage_dedup,Path coverage,0.853718122837
rq1|Gleaner w/o Logs + AD|avg_unique_trace_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Logs + AD,avg_unique_trace_coverage,Unique trace coverage,0.197470252421
rq1|Gleaner w/o Logs + AD|avg_shannon_entropy,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Logs + AD,avg_shannon_entropy,Shannon entropy,6.65712990396
rq1|Gleaner w/o Logs + AD|avg_proportion_anomaly,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Logs + AD,avg_proportion_anomaly,Anomaly proportion,0.0981384445783
rq1|Gleaner w/o Rebalance|avg_api_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Rebalance,avg_api_coverage,API coverage,0.977840909091
rq1|Gleaner w/o Rebalance|avg_path_coverage_dedup,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Rebalance,avg_path_coverage_dedup,Path coverage,0.857712366805
rq1|Gleaner w/o Rebalance|avg_unique_trace_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Rebalance,avg_unique_trace_coverage,Unique trace coverage,0.215061500562
rq1|Gleaner w/o Rebalance|avg_shannon_entropy,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Rebalance,avg_shannon_entropy,Shannon entropy,6.78694731228
rq1|Gleaner w/o Rebalance|avg_proportion_anomaly,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner w/o Rebalance,avg_proportion_anomaly,Anomaly proportion,0.108961304929
