sampler,display_name,sample_rate_count,avg_api_coverage,avg_unique_trace_coverage,avg_shannon_entropy,avg_proportion_anomaly,avg_path_coverage_dedup,avg_benefit_cost_ratio
gleaner_latency_dominate,Gleaner Latency-Dominant,2,0.9936123658949747,0.2144499933762152,7.432832723181125,0.11210811866631877,0.8922336250753395,0.8165009631766786
gleaner_log_dominate,Gleaner Log-Dominant,2,0.9936123658949747,0.21530919905363638,7.4374105155418615,0.1120683838044283,0.8879825837406292,0.818132303460523
gleaner_no_ad,Gleaner w/o AD,2,0.9933300395256917,0.21931617414861315,7.513298115502879,0.07139087258552594,0.8943890876273761,0.8312259097053689
gleaner_no_dpp,Gleaner w/o DPP,2,0.9965767927724452,0.19168431299387262,7.250374660255904,0.10647316732521828,0.8513244894452654,0.7747495354632442
gleaner_no_logs,Gleaner w/o Logs,2,0.994741671372106,0.20997285284007877,7.404364440813854,0.10771366686328167,0.8875321786082603,0.807019321695721
gleaner_no_logs_no_ad,Gleaner w/o Logs + AD,2,0.994741671372106,0.20441247221567715,7.393178526761194,0.07399272257103827,0.9081595451430594,0.7960665166257326
gleaner_no_rebalance,Gleaner w/o Rebalance,2,0.9967061923583664,0.2209961051942077,7.499066080317934,0.10085075199951288,0.8956387368016592,0.8361642817979649
gleaner_pure_diversity,Gleaner Pure Diversity,2,0.8076863354037269,0.18228799393274023,6.722697213542127,0.0176477242003612,0.6601082194650973,0.575129045152098
gleaner_top_score,Gleaner Top Score,2,0.47947722567287776,0.22747226309983076,7.594045385918971,0.14455501430761375,0.519908229056669,0.869003893479328
gleaner_wl_kernel,Gleaner WL Kernel,2,0.9967179559570867,0.18737595946043373,7.162294148529174,0.09806629724090125,0.8958370459832259,0.7641019433454381
